task,failure,controller,trigger_mode,seed,episode,success,steps,return,initial_distance,final_distance,min_distance,distance_reduction,risk_event_rate,monitor_triggers,recovery_replans,recovery_phase_replans,recovery_override_rate,source_csv,recovery_policy,experiment_suite,experiment_notes,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,source,route_label,fault_family,split,pred_route,confidence,prob_auto_execute,prob_auto_recovery,prob_human_review,prob_abort_candidate
NeedlePick,action_dropout,monitor_corrected,coarse,43002,0,1.0,85,-84.0,0.276283544707664,0.0238176560888123,0.0238176560888123,0.2524658886188517,0.7529411764705882,3,1.0,1.0,0.8823529411764706,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,auto_recovery,0.44497837038966953,0.1416773585918711,0.44497837038966953,0.407787119679145,0.005557151339314333
NeedlePick,action_dropout,monitor_corrected,coarse,43004,0,1.0,79,-78.0,0.2330517517043435,0.0202460852769509,0.0202460852769509,0.2128056664273925,0.6962025316455697,3,1.0,1.0,0.9240506329113924,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.4517473124426847,0.13661292291317173,0.4060962084656081,0.4517473124426847,0.005543556178535518
NeedlePick,execution_slip,clean,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.7272727272727273,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,reversible_execution_drift,train_even_seed,auto_execute,0.9724795694713942,0.9724795694713942,0.020985105590730316,0.0049583113571908255,0.001577013580684739
NeedlePick,execution_slip,clean,coarse,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.6904761904761905,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,reversible_execution_drift,train_even_seed,auto_execute,0.9688527395271961,0.9688527395271961,0.025294197246499294,0.004257444249173266,0.00159561897713137
NeedlePick,execution_slip,clean,coarse,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.6486486486486487,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,reversible_execution_drift,train_even_seed,auto_execute,0.9747370458276575,0.9747370458276575,0.019882131779236208,0.003908224710208676,0.0014725976828976375
NeedlePick,execution_slip,perturbed,coarse,43000,0,0.0,200,-200.0,0.2248327019361904,0.2247708061690585,0.224770802213329,6.18957671319198e-05,0.985,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.7185939341196229,0.008868284301943334,0.26906284399614455,0.7185939341196229,0.003474937582289142
NeedlePick,execution_slip,perturbed,coarse,43002,0,0.0,200,-200.0,0.276283544707664,0.2762330213360277,0.2762330213360277,5.052337163635734e-05,0.985,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.717420705060103,0.004093478112309381,0.27584990283153804,0.717420705060103,0.0026359139960495923
NeedlePick,execution_slip,perturbed,coarse,43004,0,0.0,200,-200.0,0.2330517517043435,0.2329920163894682,0.2329920163894682,5.97353148752422e-05,0.985,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.7186188064774854,0.007840273400958575,0.2702150737283873,0.7186188064774854,0.003325846393168722
NeedlePick,execution_slip,monitor_corrected,coarse,43000,0,1.0,45,-44.0,0.2248327019361904,0.0210822590820139,0.0210822590820139,0.2037504428541764,0.7555555555555555,2,0.0,0.0,0.9777777777777776,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,auto_recovery,0.4564434420791329,0.27070675657684296,0.4564434420791329,0.26679591610754644,0.006053885236477602
NeedlePick,execution_slip,monitor_corrected,coarse,43002,0,1.0,43,-42.0,0.276283544707664,0.0210770073306164,0.0210770073306164,0.2552065373770476,0.7209302325581395,2,0.0,0.0,0.9767441860465116,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,auto_recovery,0.5208544580878539,0.2570160578500221,0.5208544580878539,0.2163219975125194,0.005807486549604668
