suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split
standard_corruptions,NeedlePick,none,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.008458417799193147,train_even_seed
standard_corruptions,NeedlePick,none,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.00793768106152239,train_even_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43000,0,auto_execute,nominal_no_alarm,1.0,0.021082165583244,44,2.25,999.0,999.0,999.0,999.0,,4.0,43.0,1.0,0.0,0.7272727272727273,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.013511739158737296,train_even_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43002,0,auto_execute,nominal_no_alarm,1.0,0.021104949804524,42,2.25,999.0,999.0,999.0,999.0,,4.0,41.0,1.0,0.0,0.7619047619047619,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.013380514373077294,train_even_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43004,0,auto_execute,nominal_no_alarm,1.0,0.0159348323491111,37,2.25,999.0,999.0,999.0,999.0,,4.0,36.0,1.0,0.0,0.8648648648648649,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.012858970635584407,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.0076968233889394885,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.007708564229778943,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.0076398366445725565,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0123854749067052,36,2.59375,1.0,999.0,999.0,999.0,,1.0,35.0,1.0,0.0,0.8888888888888888,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.001446227782864052,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0124139402273811,36,2.6875,2.0,999.0,999.0,999.0,,2.0,35.0,1.0,0.0,0.8888888888888888,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0014477537593045678,train_even_seed
