suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split,route_idx,review_or_abort,not_auto_execute,progress_fraction,first_action_anomaly_signal,first_grasp_uncertain_signal,first_perception_uncertain_signal,inverse_min_danger_distance,stall_or_slow_progress,failure_family_known,multisignal_review_score,multisignal_review_pred,multisignal_route_pred,multisignal_route_confidence,split_multisignal
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210770073306164,43.0,2.59375,0.0,999.0,999.0,999.0,,0.0,42.0,2.0,0.0,0.9767441860465116,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0021624215055407,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.010398071653226813,0,auto_recovery,0.9600226186950005,validation
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211679095260486,80.0,2.59375,0.0,999.0,999.0,999.0,,0.0,79.0,3.0,1.0,0.9375,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0109288869375368,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.03783279521755545,0,auto_recovery,0.9736881631851103,train
standard_corruptions,NeedlePick,execution_slip,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2247708061690585,200.0,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0407806780226372,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.055293620467100096,0,auto_recovery,0.9673294301092843,train
standard_corruptions,NeedlePick,execution_slip,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2762330213360277,200.0,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0489152569132038,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0685786576519619,0,auto_recovery,0.967941334250022,validation
standard_corruptions,NeedlePick,execution_slip,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2329920163894682,200.0,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0419872574721981,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.057224712020716606,0,auto_recovery,0.9674895855430502,train
standard_corruptions,NeedlePick,none,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44.0,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.008609831403276,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.021984268717299825,0,auto_execute,0.9523371691658488,train
standard_corruptions,NeedlePick,none,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42.0,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0084584177991931,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.021632041851234424,0,auto_execute,0.9532558953477045,validation
standard_corruptions,NeedlePick,none,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37.0,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0079376810615223,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.02034873498270383,0,auto_execute,0.9566761436015168,train
standard_corruptions,NeedlePick,none,monitor_corrected,43000,0,auto_execute,nominal_no_alarm,1.0,0.021082165583244,44.0,2.25,999.0,999.0,999.0,999.0,,4.0,43.0,1.0,0.0,0.7272727272727273,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0135117391587372,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.028940847546097787,0,auto_execute,0.8990432628041228,train
standard_corruptions,NeedlePick,none,monitor_corrected,43002,0,auto_execute,nominal_no_alarm,1.0,0.021104949804524,42.0,2.25,999.0,999.0,999.0,999.0,,4.0,41.0,1.0,0.0,0.7619047619047619,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0133805143730772,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.028588214022039413,0,auto_execute,0.8994084120625179,validation
