suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate
standard_corruptions,NeedlePick,none,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0220062874458691,36,2.25,,,,,,,35.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,none,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,,,,,,,41.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,none,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0178893382398011,41,2.25,,,,,,,40.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,none,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,,,,,,,36.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,none,monitor_corrected,43000,0,auto_execute,nominal_no_alarm,1.0,0.021082165583244,44,2.25,,,,,,4.0,43.0,1.0,0.0,0.7272727272727273
standard_corruptions,NeedlePick,none,monitor_corrected,43001,0,auto_execute,nominal_no_alarm,1.0,0.0220062751549105,36,2.25,,,,,,4.0,35.0,1.0,0.0,0.8611111111111112
standard_corruptions,NeedlePick,none,monitor_corrected,43002,0,auto_execute,nominal_no_alarm,1.0,0.021104949804524,42,2.25,,,,,,4.0,41.0,1.0,0.0,0.7619047619047619
standard_corruptions,NeedlePick,none,monitor_corrected,43003,0,auto_execute,nominal_no_alarm,1.0,0.0178893429149685,41,2.25,,,,,,4.0,40.0,1.0,0.0,0.7804878048780488
standard_corruptions,NeedlePick,none,monitor_corrected,43004,0,auto_execute,nominal_no_alarm,1.0,0.0159348323491111,37,2.25,,,,,,4.0,36.0,1.0,0.0,0.8648648648648649
standard_corruptions,GauzeRetrieve,action_dropout,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0136650557877879,33,2.25,,,,,,,32.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0135693759879085,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0123854749067052,36,2.59375,1.0,,,,,1.0,35.0,1.0,0.0,0.8888888888888888
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0130924905687453,34,2.78125,3.0,,,,,3.0,33.0,1.0,0.0,0.8823529411764706
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0124139402273811,36,2.6875,2.0,,,,,2.0,35.0,1.0,0.0,0.8888888888888888
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0125843139348445,36,2.6875,2.0,,,,,2.0,35.0,1.0,0.0,0.8888888888888888
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0116913984820278,36,2.875,4.0,,,,,4.0,35.0,1.0,0.0,0.8611111111111112
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2405472845094843,200,3.25,6.0,,,37.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43001,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2356245488819259,200,3.25,5.0,,,31.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2744540412305243,200,3.25,0.0,,,31.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43003,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2799389980978954,200,3.25,2.0,,,43.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2545280042469207,200,3.25,0.0,,,40.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0136650557877879,33,2.25,,,,,,,32.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0135693759879085,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0121275690304003,34,2.5,0.0,,,,,0.0,33.0,2.0,0.0,0.9411764705882352
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.022364754337126,33,2.5,0.0,,,,,0.0,32.0,1.0,0.0,0.9696969696969696
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0144946595770494,35,2.5,0.0,,,,,0.0,34.0,2.0,0.0,0.9428571428571428
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0217042032145086,36,2.5,0.0,,,,,0.0,35.0,2.0,0.0,0.9444444444444444
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.013622751850512,35,2.5,0.0,,,,,0.0,34.0,2.0,0.0,0.9428571428571428
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2840154690540094,200,3.25,0.0,,,31.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43001,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2864712438646073,200,3.25,0.0,,,30.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2673301351181252,200,3.25,0.0,,,30.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43003,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2732778074239896,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0
