task,failure,controller,trigger_mode,seed,episode,success,steps,return,initial_distance,final_distance,min_distance,distance_reduction,risk_event_rate,monitor_triggers,recovery_replans,recovery_phase_replans,recovery_override_rate,source_csv,recovery_policy,experiment_suite,experiment_notes,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance
NeedlePick,execution_slip,clean,coarse,43003,0,1.0,41,-40.0,0.1893448593365003,0.0178893382398011,0.0178893382398011,0.1714555210966991,0.7073170731707317,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,clean,coarse,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.6486486486486487,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,perturbed,coarse,43000,0,0.0,200,-200.0,0.2248327019361904,0.2247708061690585,0.224770802213329,6.18957671319198e-05,0.985,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,perturbed,coarse,43001,0,0.0,200,-200.0,0.1682387886550749,0.1681555969987981,0.1681555848377596,8.31916562768209e-05,0.985,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,perturbed,coarse,43002,0,0.0,200,-200.0,0.276283544707664,0.2762330213360277,0.2762330213360277,5.052337163635734e-05,0.985,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,perturbed,coarse,43003,0,0.0,200,-200.0,0.1893448593365003,0.1958383551131128,0.1834054682100435,-0.0064934957766124,0.88,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,perturbed,coarse,43004,0,0.0,200,-200.0,0.2330517517043435,0.2329920163894682,0.2329920163894682,5.97353148752422e-05,0.985,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,monitor_corrected,coarse,43000,0,1.0,45,-44.0,0.2248327019361904,0.0210822590820139,0.0210822590820139,0.2037504428541764,0.7555555555555555,2,0,0,0.9777777777777776,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,monitor_corrected,coarse,43001,0,1.0,80,-79.0,0.1682387886550749,0.0201006628207849,0.0201006628207849,0.14813812583429,0.7375,3,1,1,0.9375,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,monitor_corrected,coarse,43002,0,1.0,43,-42.0,0.276283544707664,0.0210770073306164,0.0210770073306164,0.2552065373770476,0.7209302325581395,2,0,0,0.9767441860465116,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,monitor_corrected,coarse,43003,0,1.0,42,-41.0,0.1893448593365003,0.0176015514674102,0.0176015514674102,0.17174330786909,0.7380952380952381,2,0,0,0.9761904761904762,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,monitor_corrected,coarse,43004,0,1.0,80,-79.0,0.2330517517043435,0.0211679095260486,0.0211679095260486,0.2118838421782948,0.7375,3,1,1,0.9375,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,clean,goalaware,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43001,0,1.0,36,-35.0,0.1682387886550749,0.0220062874458691,0.0220062874458691,0.1462325012092058,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43003,0,1.0,41,-40.0,0.1893448593365003,0.0178893382398011,0.0178893382398011,0.1714555210966991,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43005,0,1.0,46,-45.0,0.1785035669436605,0.0164449452188574,0.0164449452188574,0.162058621724803,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43006,0,1.0,45,-44.0,0.2540607979518466,0.0209424162532183,0.0209424162532183,0.2331183816986282,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43007,0,1.0,36,-35.0,0.2084216828031298,0.0176410778805924,0.0176410778805924,0.1907806049225374,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43008,0,1.0,41,-40.0,0.1699740880602928,0.0244497379929081,0.0244497379929081,0.1455243500673846,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,clean,goalaware,43009,0,1.0,40,-39.0,0.170381193950252,0.0245532861530195,0.0245532861530195,0.1458279077972324,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,monitor_corrected,goalaware,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210817281693356,0.0210817281693356,0.2037509737668548,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,monitor_corrected,goalaware,43001,0,1.0,36,-35.0,0.1682387886550749,0.0220062730331292,0.0220062730331292,0.1462325156219457,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,monitor_corrected,goalaware,43002,0,1.0,42,-41.0,0.276283544707664,0.021104332389524,0.021104332389524,0.25517921231814,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,monitor_corrected,goalaware,43003,0,1.0,41,-40.0,0.1893448593365003,0.0178894894159201,0.0178894894159201,0.1714553699205801,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
NeedlePick,none,monitor_corrected,goalaware,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159347223962856,0.0159347223962856,0.2171170293080578,0.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,
