suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,unsafe_warning_events,unsafe_abort,min_danger_distance,source,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,family,first_action_anomaly_observed,first_grasp_uncertain_observed,first_perception_uncertain_observed,first_review_observed,first_abort_observed,pc1,pc2,split
standard_corruptions,NeedlePick,action_noise,perturbed,43001,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1795529447779188,200,3.25,0.0,,,30.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.36958558312732,-1.3220582080542704,test_odd_seed
standard_corruptions,NeedlePick,action_noise,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.264427617234559,200,3.25,0.0,,,37.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.6965673956348577,-1.5199464449447346,train_even_seed
standard_corruptions,NeedlePick,action_noise,perturbed,43003,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2005255540394828,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.4503830883296165,-1.3709565725443806,test_odd_seed
standard_corruptions,NeedlePick,action_noise,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2543641285605397,200,3.25,0.0,,,30.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.657797552152269,-1.496483072739249,train_even_seed
standard_corruptions,NeedlePick,execution_slip,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,,,,,,,43.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3789430874190094,-0.06869334287094978,train_even_seed
standard_corruptions,NeedlePick,execution_slip,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0220062874458691,36,2.25,,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.424026149542197,-0.05184331213916096,test_odd_seed
standard_corruptions,NeedlePick,execution_slip,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,,,,,,,41.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3910194796761848,-0.06399327274147912,train_even_seed
standard_corruptions,NeedlePick,execution_slip,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0178893382398011,41,2.25,,,,,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4094851376512463,-0.05412218170435533,test_odd_seed
standard_corruptions,NeedlePick,execution_slip,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,,,,,,,36.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4413362482703862,-0.040063041704107384,train_even_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210822590820139,45,2.59375,0.0,,,,,0.0,44.0,2.0,0.0,0.9777777777777776,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.0433599942312002,2.1499762573369954,train_even_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0201006628207849,80,2.59375,0.0,,,,,0.0,79.0,3.0,1.0,0.9375,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-0.4697109016024812,3.523487077528549,test_odd_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210770073306164,43,2.59375,0.0,,,,,0.0,42.0,2.0,0.0,0.9767441860465116,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.0555272446450172,2.1533908643567212,train_even_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0176015514674102,42,2.59375,0.0,,,,,0.0,41.0,2.0,0.0,0.9761904761904762,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.0749895474192905,2.163147023010786,test_odd_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211679095260486,80,2.59375,0.0,,,,,0.0,79.0,3.0,1.0,0.9375,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-0.46559930680065026,3.5209987548909605,train_even_seed
standard_corruptions,NeedlePick,execution_slip,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2247708061690585,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.5437885325754364,-1.4274852171684596,train_even_seed
standard_corruptions,NeedlePick,execution_slip,perturbed,43001,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1681555969987981,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.3256770138600924,-1.2954848971718058,test_odd_seed
standard_corruptions,NeedlePick,execution_slip,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2762330213360277,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.7420480121574626,-1.5474711532682048,train_even_seed
