experiment_suite,task,failure,recovery_policy,controller,source_csv,experiment_notes,episodes,seeds,success_mean,success_std,final_distance_mean,final_distance_std,triggers_mean,phase_replans_mean,override_rate_mean,steps_mean,steps_std
silent_jaw_stuck_observable_proxy_10seed,NeedlePick,none,observable_phase_replan,clean,runs/surrol_needlepick_observable_phase_jaw_stuck_w32_10seed.csv,"NeedlePick hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.02020484421171876,0.003101977635422719,0.0,0.0,0.0,40.8,3.6147844564602556
silent_jaw_stuck_observable_proxy_10seed,NeedlePick,none,observable_phase_replan,monitor_corrected,runs/surrol_needlepick_observable_phase_jaw_stuck_w32_10seed.csv,"NeedlePick hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.02020489016626879,0.003102013279151088,1.1,0.0,0.8039655644957872,40.8,3.6147844564602556
standard_corruptions,GauzeRetrieve,action_dropout,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01256477131133138,0.00133260885761071,0.0,0.0,0.0,34.6,0.8944271909999153
standard_corruptions,GauzeRetrieve,action_dropout,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01243352362394078,0.0005025975196704619,1.0,0.0,0.8820261437908495,35.6,0.8944271909999153
standard_corruptions,GauzeRetrieve,action_dropout,internal_phase_replan,perturbed,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,0.0,0.0,0.25701857539335016,0.01977720900621581,0.0,0.0,0.0,200.0,0.0
standard_corruptions,GauzeRetrieve,action_noise,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01256477131133138,0.00133260885761071,0.0,0.0,0.0,34.6,0.8944271909999153
standard_corruptions,GauzeRetrieve,action_noise,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01686278760191926,0.004802059454592754,1.8,0.0,0.948206434088787,34.6,1.1401754250991378
standard_corruptions,GauzeRetrieve,action_noise,internal_phase_replan,perturbed,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,0.0,0.0,0.27078288142895185,0.017473614602497137,0.0,0.0,0.0,200.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01256477131133138,0.00133260885761071,0.0,0.0,0.0,34.6,0.8944271909999153
standard_corruptions,GauzeRetrieve,execution_slip,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.012899619462035722,0.0033026390532036845,1.0,0.0,0.893968253968254,35.8,0.44721359549995865
