suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split,route_idx,review_or_abort,not_auto_execute,progress_fraction,first_action_anomaly_signal,first_grasp_uncertain_signal,first_perception_uncertain_signal,inverse_min_danger_distance,stall_or_slow_progress,failure_family_known,multisignal_review_score,multisignal_review_pred,multisignal_route_pred,multisignal_route_confidence,split_multisignal,mechanism_label,expected_vppv_route,visual_evidence,depth_evidence,policy_embedding_evidence,action_outcome_evidence,progress_regularity_evidence,local_neighborhood_evidence,handoff_evidence,boundary_evidence,composite_risk_score,high_risk_label,route_uniform_retry,route_visual_only,route_embedding_only,route_single_score,route_composite_vppv
standard_corruptions,NeedlePick,action_noise,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42.0,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0084584177991931,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0216320418512344,0,auto_execute,0.9532558953477044,validation,policy_approach_drift,low_gain_correction_or_replan,0.004652129789556206,0.003256490852689344,0.019610874795281966,0.004032258064516129,0.3902643932572636,0.3268847553748201,0.07805287865145272,0.0,0.06772009679604529,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,action_noise,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37.0,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0079376810615223,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0203487349827038,0,auto_execute,0.9566761436015168,train,policy_approach_drift,low_gain_correction_or_replan,0.0043657245838372655,0.0030560072086860857,0.019272395915795944,0.004032258064516129,0.37967379022764,0.32353833502618995,0.075934758045528,0.0,0.06588437650804918,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210810009321871,44.0,2.59375,0.0,999.0,999.0,999.0,,0.0,43.0,2.0,0.0,0.9772727272727272,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0021822006182596,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0104827998992965,0,auto_recovery,0.9603180330993082,train,policy_approach_drift,low_gain_correction_or_replan,0.00120021034004278,0.0008401472380299459,0.019412382014771967,0.7130956744868034,0.39271988560986415,0.32752215669034523,0.07854397712197284,0.0,0.1946632481709394,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211040054244525,43.0,2.59375,0.0,999.0,999.0,999.0,,0.0,42.0,2.0,0.0,0.9767441860465116,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0021626370454811,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0103991820326195,0,auto_recovery,0.9600267340267836,validation,policy_approach_drift,low_gain_correction_or_replan,0.0011894503750146052,0.0008326152625102236,0.019399665692465942,0.7129899662415603,0.39150185360145184,0.32715038892666853,0.07830037072029038,0.0,0.19444402992451212,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0248480066467928,35.0,2.59375,0.0,999.0,999.0,999.0,,0.0,34.0,2.0,0.0,0.9428571428571428,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.002025032257747,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0098596588428387,0,auto_recovery,0.957582438214496,train,policy_approach_drift,low_gain_correction_or_replan,0.00111376774176085,0.000779637419232595,0.019310222580438775,0.7062125576036866,0.3847894385834511,0.3250919428652547,0.07695788771669022,0.0,0.19211279154838126,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_noise,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1870661590356343,200.0,3.25,0.0,999.0,999.0,31.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0356601733453245,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0472560203578072,0,auto_recovery,0.9662654547748102,train,policy_approach_drift,low_gain_correction_or_replan,0.019613095339928478,0.013729166737949933,0.048582338480912535,0.45725806451612905,0.7271502946117762,0.4424362576239891,0.14543005892235525,0.0,0.2123860538910717,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_noise,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.264427617234559,200.0,3.25,0.0,999.0,999.0,37.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0469228581527558,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0652676462223643,0,auto_recovery,0.9678810848219196,validation,policy_approach_drift,low_gain_correction_or_replan,0.025807571984015693,0.018065300388810983,0.05590308360574288,0.45725806451612905,0.7930351069274709,0.4658620738811127,0.1586070213854942,0.0,0.22598206398135823,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_noise,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2543641285605397,200.0,3.25,0.0,999.0,999.0,30.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0452855911312619,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.062574261051412,0,auto_recovery,0.9677929289701204,train,policy_approach_drift,low_gain_correction_or_replan,0.024907075122194044,0.017434952585535828,0.054838860041771846,0.45725806451612905,0.7844645463671466,0.46275879393102987,0.15689290927342933,0.0,0.2241667474754772,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,execution_slip,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44.0,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.008609831403276,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0219842687172998,0,auto_execute,0.9523371691658488,train,policy_approach_drift,low_gain_correction_or_replan,0.0047354072718018,0.00331478509026126,0.01970929363793585,0.004032258064516129,0.3927210112468732,0.3276709501930299,0.07854420224937464,0.0,0.0681542190438101,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,execution_slip,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42.0,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0084584177991931,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0216320418512344,0,auto_execute,0.9532558953477044,validation,policy_approach_drift,low_gain_correction_or_replan,0.004652129789556206,0.003256490852689344,0.019610874795281966,0.004032258064516129,0.3902643932572636,0.3268847553748201,0.07805287865145272,0.0,0.06772009679604529,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,execution_slip,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37.0,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0079376810615223,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0203487349827038,0,auto_execute,0.9566761436015168,train,policy_approach_drift,low_gain_correction_or_replan,0.0043657245838372655,0.0030560072086860857,0.019272395915795944,0.004032258064516129,0.37967379022764,0.32353833502618995,0.075934758045528,0.0,0.06588437650804918,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210822590820139,45.0,2.59375,0.0,999.0,999.0,999.0,,0.0,44.0,2.0,0.0,0.9777777777777776,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0022021260858075,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0105680751632801,0,auto_recovery,0.9606096973943145,train,policy_approach_drift,low_gain_correction_or_replan,0.001211169347194125,0.0008478185430358875,0.0194253335686781,0.7131966845878135,0.3939585808743441,0.3279002410466423,0.07879171617486883,0.0,0.19488502501823698,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210770073306164,43.0,2.59375,0.0,999.0,999.0,999.0,,0.0,42.0,2.0,0.0,0.9767441860465116,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0021624215055407,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0103980716532268,0,auto_recovery,0.9600226186950004,validation,policy_approach_drift,low_gain_correction_or_replan,0.001189331828047385,0.0008325322796331695,0.01939952559150468,0.7129899662415603,0.3914788607005075,0.3271434210059046,0.07829577214010151,0.0,0.19444029260592918,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211679095260486,80.0,2.59375,0.0,999.0,999.0,999.0,,0.0,79.0,3.0,1.0,0.9375,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0109288869375368,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0378327952175554,0,auto_recovery,0.9736881631851104,train,policy_approach_drift,low_gain_correction_or_replan,0.006010887815645241,0.004207621470951668,0.025097728122302147,0.736391129032258,0.43734835667673355,0.34375337106417114,0.21246967133534672,0.0,0.2208690866896083,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,execution_slip,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2247708061690585,200.0,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0407806780226372,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0552936204671,0,auto_recovery,0.9673294301092844,train,policy_approach_drift,low_gain_correction_or_replan,0.022429372912450462,0.01570056103871532,0.05191066652116579,0.45725806451612905,0.7592614214913582,0.45373375970799035,0.15185228429827166,0.0,0.21891251506029202,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,execution_slip,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2762330213360277,200.0,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0489152569132038,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0685786576519619,0,auto_recovery,0.967941334250022,validation,policy_approach_drift,low_gain_correction_or_replan,0.026903391302262093,0.018832373911583464,0.05719814280003409,0.45725806451612905,0.803089168105276,0.46952582183159985,0.1606178336210552,0.0,0.2281310523136405,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,execution_slip,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2329920163894682,200.0,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0419872574721981,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0572247120207166,0,auto_recovery,0.9674895855430502,train,policy_approach_drift,low_gain_correction_or_replan,0.023092991609708957,0.01616509412679627,0.05269494316338037,0.45725806451612905,0.7662630073584029,0.45622637378921105,0.1532526014716806,0.0,0.2203599931457401,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,none,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44.0,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.008609831403276,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0219842687172998,0,auto_execute,0.9523371691658488,train,nominal,continue,0.0047354072718018,0.00331478509026126,0.01970929363793585,0.004032258064516129,0.3927210112468732,0.12767095019302988,0.07854420224937464,0.0,0.0681542190438101,False,continue,continue,continue,continue,continue
standard_corruptions,NeedlePick,none,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42.0,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0084584177991931,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0216320418512344,0,auto_execute,0.9532558953477044,validation,nominal,continue,0.004652129789556206,0.003256490852689344,0.019610874795281966,0.004032258064516129,0.3902643932572636,0.12688475537482005,0.07805287865145272,0.0,0.06772009679604529,False,continue,continue,continue,continue,continue
standard_corruptions,NeedlePick,none,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37.0,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0079376810615223,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0203487349827038,0,auto_execute,0.9566761436015168,train,nominal,continue,0.0043657245838372655,0.0030560072086860857,0.019272395915795944,0.004032258064516129,0.37967379022764,0.12353833502618995,0.075934758045528,0.0,0.06588437650804918,False,continue,continue,continue,continue,continue
standard_corruptions,NeedlePick,none,monitor_corrected,43000,0,auto_execute,nominal_no_alarm,1.0,0.021082165583244,44.0,2.25,999.0,999.0,999.0,999.0,,4.0,43.0,1.0,0.0,0.7272727272727273,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0135117391587372,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0289408475460977,0,auto_execute,0.8990432628041228,train,nominal,continue,0.007431456537305461,0.005202019576113822,0.02289553367898563,0.1807368035190616,0.39272087748382933,0.1292640300846416,0.07854417549676587,0.0,0.10129041320682235,False,continue,continue,continue,continue,continue
standard_corruptions,NeedlePick,none,monitor_corrected,43002,0,auto_execute,nominal_no_alarm,1.0,0.021104949804524,42.0,2.25,999.0,999.0,999.0,999.0,,4.0,41.0,1.0,0.0,0.7619047619047619,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0133805143730772,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0285882140220394,0,auto_execute,0.8994084120625179,validation,nominal,continue,0.007359282905192461,0.005151498033634723,0.022810237568306628,0.18766321044546852,0.39026503411946556,0.12848462901999297,0.07805300682389311,0.0,0.1021086433534064,False,continue,continue,continue,continue,continue
standard_corruptions,NeedlePick,none,monitor_corrected,43004,0,auto_execute,nominal_no_alarm,1.0,0.0159348323491111,37.0,2.25,999.0,999.0,999.0,999.0,,4.0,36.0,1.0,0.0,0.8648648648648649,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0128589706355844,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0272026111107088,0,auto_execute,0.9021494948049416,train,nominal,continue,0.0070724338495714205,0.0049507036946999945,0.02247123413893631,0.2082552310374891,0.37967378969270665,0.12513775397728014,0.07593475793854133,0.0,0.10397916529008064,False,continue,continue,continue,continue,continue
standard_corruptions,GauzeRetrieve,action_dropout,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35.0,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0076968233889394,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0197414690890583,0,auto_execute,0.9582953257066588,train,policy_approach_drift,low_gain_correction_or_replan,0.004233252863916671,0.002963277004741669,0.01911583842861706,0.004032258064516129,0.37418765184570546,0.3218142147680202,0.07483753036914109,0.0,0.06494127376613518,False,low_gain_correction_or_replan,continue,continue,continue,continue
