suite,task,failure,controller,route,route_reason,episodes,seeds,success_mean,final_distance_mean,max_triage_risk_mean,first_review_step_mean,first_abort_step_mean,monitor_triggers_mean,recovery_phase_replans_mean,recovery_override_rate_mean
visual_state_drift_5seed,NeedlePick,depth_scale_error,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01960339572371838,2.25,,,0.0,0.0,0.0
visual_state_drift_5seed,NeedlePick,depth_scale_error,monitor_corrected,human_review,visual_state_uncertain,5,5,0.0,0.2332736165998651,3.25,53.25,,1.6,0.0,0.14111111111111113
visual_state_drift_5seed,NeedlePick,depth_scale_error,perturbed,human_review,visual_state_uncertain,5,5,0.0,0.218395370927013,3.25,54.4,,0.0,0.0,0.0
visual_state_drift_5seed,NeedlePick,near_target_drift,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01960339572371838,2.25,,,0.0,0.0,0.0
visual_state_drift_5seed,NeedlePick,near_target_drift,monitor_corrected,auto_recovery,reversible_action_or_execution_anomaly,5,5,1.0,0.01880614528618026,2.25,,,1.0,0.0,0.07521205082180688
visual_state_drift_5seed,NeedlePick,near_target_drift,perturbed,auto_recovery,reversible_action_or_execution_anomaly,5,5,0.2,0.09559785809757501,2.25,,,0.0,0.0,0.0
visual_state_drift_5seed,NeedlePick,none,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01960339572371838,2.25,,,0.0,0.0,0.0
visual_state_drift_5seed,NeedlePick,none,monitor_corrected,auto_execute,nominal_no_alarm,5,5,1.0,0.019603309080838897,2.25,,,0.0,0.0,0.0
visual_state_drift_5seed,NeedlePick,perception_bias,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01960339572371838,2.25,,,0.0,0.0,0.0
visual_state_drift_5seed,NeedlePick,perception_bias,monitor_corrected,human_review,visual_state_uncertain,5,5,0.0,0.2263655642224026,3.25,33.0,,1.6,0.0,0.1388888888888889
visual_state_drift_5seed,NeedlePick,perception_bias,perturbed,human_review,visual_state_uncertain,5,5,0.0,0.22600370521652327,3.25,33.0,,0.0,0.0,0.0
