task,seed,step,phase,route,monitor_trigger,success,distance,progress,initial_distance,min_distance,final_distance_so_far,reward,action_norm,oracle_action_norm
NeedlePick,43123,16,monitor_trigger,monitor_recovery_oracle_override,1.0,0.0,0.18634457853647712,-3.6885380028106596e-09,0.18641941354154043,0.18634453427403577,0.18634457853647712,-1.0,0.757921040058136,0.757921040058136
NeedlePick,43123,17,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634457853647712,0.0,0.18641941354154043,0.18634453427403577,0.18634457853647712,-1.0,0.7473834156990051,0.7473834156990051
NeedlePick,43123,18,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634457853647712,0.0,0.18641941354154043,0.18634453427403577,0.18634457853647712,-1.0,0.7428388595581055,0.7428388595581055
NeedlePick,43123,19,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634457853647712,0.0,0.18641941354154043,0.18634453427403577,0.18634457853647712,-1.0,0.7408900856971741,0.7408900856971741
NeedlePick,43123,20,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458222501538,-3.68853825261084e-09,0.18641941354154043,0.18634453427403577,0.18634458222501538,-1.0,0.7400566935539246,0.7400566935539246
NeedlePick,43123,21,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458222501538,0.0,0.18641941354154043,0.18634453427403577,0.18634458222501538,-1.0,0.7397005558013916,0.7397005558013916
NeedlePick,43123,22,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458591355382,-3.6885384468998694e-09,0.18641941354154043,0.18634453427403577,0.18634458591355382,-1.0,0.7395485639572144,0.7395485639572144
NeedlePick,43123,23,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458591355382,0.0,0.18641941354154043,0.18634453427403577,0.18634458591355382,-1.0,0.7394838333129883,0.7394838333129883
NeedlePick,43123,24,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458591355382,0.0,0.18641941354154043,0.18634453427403577,0.18634458591355382,-1.0,0.739456295967102,0.739456295967102
NeedlePick,43123,25,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,-3.68853869670005e-09,0.18641941354154043,0.18634453427403577,0.18634458960209252,-1.0,0.7394446730613708,0.7394446730613708
NeedlePick,43123,26,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634453427403577,0.18634458960209252,-1.0,0.7394400238990784,0.7394400238990784
NeedlePick,43123,27,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634452562036755,6.398172497368293e-08,0.18641941354154043,0.18634452562036755,0.18634452562036755,-1.0,0.7394383549690247,0.7394383549690247
NeedlePick,43123,28,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,-6.398172497368293e-08,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.7394377589225769,0.7394377589225769
